,0,1,2
0,2 star rating,,"What do I know, I'm just a stupid tourist who comes into the city once a year and takes 3-4 subway rides each time.A lot cleaner than some of our Philly train stations, that's for sure. Pretty easy to figure out how to get from place to place with Google maps.Love the contactless method - tap and go."
1,Filter reviews by 1 star rating,,"What do I know, I'm just a stupid tourist who comes into the city once a year and takes 3-4 subway rides each time.A lot cleaner than some of our Philly train stations, that's for sure. Pretty easy to figure out how to get from place to place with Google maps.Love the contactless method - tap and go."
2,4 star rating,"Nov 3, 2023","What do I know, I'm just a stupid tourist who comes into the city once a year and takes 3-4 subway rides each time.A lot cleaner than some of our Philly train stations, that's for sure. Pretty easy to figure out how to get from place to place with Google maps.Love the contactless method - tap and go."
3,1 star rating,"Aug 23, 2023","This Company is A Literally A Gangsters Mafia , an Organized Group of Criminals with uniforms !!! and I'll explain exactly why I say that . (1) they are stilling people's money , by damaging their metro cards on purpose !!! In the Busses and subway train station machines !! All that is happening from one reason only that people would buy another card , and another one , and if you send your damaged card to them ? they taking the card and say goodbye to your card and to your money !!! For example in the last six months , I buy in the beginning of the month , a monthly unlimited metro card , pay 127$ !!! And already twelve times I purchased the same card again and again , I mean in a six months !!! why ? Because suddenly and surprisingly the card after two weeks or so is damaging !!! So you guys probably asking how come ? And why every card ?? So I'll say /ask the same question to you !! How come every time a different card in a different trains and buses of MTA damaging after two weeks or sometimes after one week ?? And if it's happening to me , who can tell me how many people in NY , it's happening to them also in the same way ?? And I don't play with the card or use it in not appropriate way , like throw it like a garbage in places that would damage the card !! No No !! it comes out of the wallet in the morning , I use it in the bus and the train and it goes back to the wallet !!! No games with the card !! But any it gets damaged !!! And every month after two or three weeks of use !!! I don't get to use it the whole mont !!! And I use it only two times in a day , on my way to work and when I go back home !!! And I buy Monthly unlimited on purpose , because I live in Long Island , and working in Brooklyn !!! So the cost of day by day to pay 11$ cost to much for me , only for the transportation , plus I need food so I don't want to spend that much money in every month so I use / Buy the Monthly card !!! But this company decided I guess to still the peoples money !!! And again , if it's happening to me ? Who promises that it's not happening to thousands of people in NY every Month ?? And every day ?? One hundred percent for sure that it's happening to a lot more people !!! And by that ? they forcing people to buy their "" new  technology  card ""  and pay more and more money , The OMNI card !!! instead of pay one time monthly purchase metro card and use it for a monthly unlimited uses the people have to pay for each ride separately !!! (2) Look in the Subway tunnels , always dirty like a pothole's !!! Full of Homeless people that bother everyone , including tourists !!! And the company making millions and Billions of money !!! where that money goes ?? Look at their representatives !!! How they treating innocent people that come to ask simple questions about how to use this and how to do that , or for directions to somewhere !!! Go by yourself , Go to places like Flushing NY !!! Or Bronx !! Or Brooklyn NY !!! insulting People , and they get out of it without any punishment !!! why ?? Because they are a Big organized  company!!! And they can bring to the courthouses more lawyers !!  And know exactly that you can not allow to yourself to pay !!! And they pay them with the money they stilling from the people !!! the individual citizens can not do anything against them !!! That's why they are the only one company in NY !!! They are the only Monopoly company in NY , and They Have the union that Belongs to them , and fallow the American History , how the Union started to build up in America !!! And the people in NY city don't have any other choice only to use their services , Because ther is no other companies around in the area to use their services with a normal price to go to places from the five boroughs to Manhattan and back !!! and you can not to talk with them even !!! Like Every other Gangster in the world , they will call the police on you !!! And will put you in jail for at least seven years !!!  But they they can talk to you whatever way they want !! To insult you !!! And kick you out of the bus or the train and you can't do nothing at all against them !!! In other words ?? They are A Big Cruel Filthy Mafia !!! Gangsters !!! Nothing else !!! That's what I feel on this MTA Company !!! I wish I had another choice to use other companies cervices in a reasonable prices to go to work and back !! But there is non of them !!!"
4,1 star rating,"Nov 29, 2023","The Q65 bus tonight has no screens on to show the routes, too dark to see any signs, missed a stop, had to shout twice for back door to get off a stop. Why  are we paying for services at night anyway?"
5,1 star rating,"Oct 25, 2023","Why should customers pay $2.90 for buses that skip their bus stops? The Q3 bus driver ignored me and skipped the bus stop even though I signaled and he had time to stop there was sufficient space even though repairs are being done at the side of the road. Regardless the bus driver still had the time and space to stop at at 180th street Hillside Avenue. I don't think bus drivers are friendly at all with that attitude. What if an elderly person was waiting for that bus, then what? Please clean up the act, thanks."
6,1 star rating,"Oct 16, 2023","Are MTA bus drivers supposed to ignore customers that wave at the stop sign? Why are the bus drivers in a rush and ignore us? Such as Q3, that is not customer service."
7,1 star rating,"Sep 23, 2023","why is the F train taking 5 minutes when 10 minutes already passed, is this a game for the MTA? Why am I paying $2.90 for shit service?"
8,1 star rating,"Aug 28, 2023",F train slow at evenings as well as the R train holding up the tracks. Will the MTA ever improve their services?
9,1 star rating,"Aug 24, 2023","Could be better, half ass job to get to destination, have to wait for another bus to get to destination due to last stop"
10,1 star rating,"Aug 21, 2023",Services needs major improvement. MTA are not doing their best
11,1 star rating,"Jul 31, 2023","Wasted $2.75 on a fare where no notices were posted, train does not even go to stillwell Ave or Manhattan because area is blocked off, no signs stating this, no notices, no nothing. MTA is not doing well, why are they not hiring workers to speed up these delayed services? I need a refund!"
12,1 star rating,"Jul 15, 2023","I do not recommend using the MTA for work on Saturday, service is terrible. Delays, lies on the map, lies on the transit app, app shows bus already when the bus did not even arrive at the bus stop. Trains are slow, 30 mins wait is too much to ask for, I expect better from the MTA, as a matter of fact service should be free on Saturdays given the worst service ever for today."
13,1 star rating,"Feb 3, 2023","Very long to wait, worst service ever especially when it's very windy and cold to travel to work on Fridays. Excuses from the MTA is all bullshit, we all have to work too and what's the excuse?"
14,1 star rating,"Dec 7, 2022","Both buses and trains are slow for going to work at nights, as slow as traffic or slower pretty much screwed in New York. Better to move out of New York"
15,1 star rating,"Nov 10, 2022","Poor service, not helpful as a process server job to rely on the MTA with its constant delays with the F, M and R trains. Could be worse for any other job as far as I know. I would like to see improvements if that's possible for the MTA to ever make any improvements since people have it hard enough to even get to their jobs knowing it's worse with traffic as it is for driving and parking."
16,1 star rating,"Oct 19, 2022","poor service, map is a lie with the time of service, M train and R train always hard to get."
17,1 star rating,"Sep 26, 2022",Horrible service with the F train at night. If you work at nights I recommend you drive or call an Uber much more reliable than the F train
18,1 star rating,"Jul 18, 2022",Poor service at nights especially when you have to work.
19,1 star rating,"Nov 11, 2021","Poor service, lazy people should be fired in search for better workers. Deserves an F rating. Also they steal fares from Metro card to swipe again"
20,1 star rating,"Nov 26, 2023",Do you have some automated system for your delay ticket responses because there is no way on God's green earth you are denying these insane delays from patrons. It totally should be the reverse. Putting people in jeopardy of every day for your flippant attitudes towards this (lack of) service. Honestly how dare you guys. Be better (3x).
21,1 star rating,"Nov 13, 2023","I know this review will fall on deaf ears so consider this speaking my disgust into an empty, deep-pocketed void. I absolutely love when the machines don't work so patrons are forced to jump to avoid missing their trains right where cops are conveniently placed... but all of a sudden they are no where to be found when you have people passing out on the platform from heat exhaustion, sick individuals that threaten to harm an entire subway car during your daily morning commute so you have to resort making a report through a Twitter DM (totally not speaking from experience)... absolutely disgusted at the regression of service since the fare hike. If anything, you should have waited until all of these services were in ship and sharp standing before charging people extra for your seriously embarrassing delays. Pull yourselves together. Forget the visual ascetics and focus on your failing, broken infrastructure."
22,1 star rating,"Nov 25, 2021","Consider this as an over arching review of the nearly three decades I've been alive being born and raised in the city and the possibly 13 to 14 years I've used this system to commute to either school or work. Question: how are you guys getting worse as time goes on? I could care less about the high tech ads or whatever new ad-on that natives don't give two shits about. Yeah, a nifty subway is absolutely welcomed, but could you maybe focus your updates on your trains to be a little more punctual, you know, services people actually care about? I remember going to high school and I could actually predict when a train was going to pull in to my station, as came in around the same time every morning. Now, you'd be lucky if a train even pulled in!Tell me how you guys want to keep raising these prices on fares but then decide to do track work in the middle of a work day and shut down both sides of the tracks so people are stranded every which way. Get your shit together. And stop raising the price on rides. Like everyone has the luxury to pay for this incompetent service.And OMNY is such a ridiculous idea. Like everyone living here has the privilege of smart phones and credit cards. AND considering the city's up in crime since the pandemic, that makes no sense to implement a system to flash those items out in the open in order to hold a ride."
23,1 star rating,"Sep 7, 2023",Zero stars if I could. Im making it my mission for MTA to lose as much money as possible.
24,1 star rating,"Aug 12, 2022","Current NYC mayor Eric Adams seems to have even less common sense than his pez-headed predecessor Bill de Blasio, if that's even humanly possible. The MTA's scheme to raise $1B in incremental revenue through congestion pricing for automobiles entering Manhattan is fraught with so many unintended consequences that I can only assume that they are in fact, intended and the comedians who run city government just don't care. In a scenario laid out by British newspaper The Daily Mail (London already has a similar plan) a ride into NYC from my home in Princeton will trigger $120 in congestion pricing on top of tolls, gas, parking etc. No sympathy expected, it's just an illustration.That's $200+ just to come to Manhattan in order to work, dine, play, shop etc. I don't care whether I can afford to pay or not, this punitive tax is an automatic non-starter. Under this plan it would literally be cheaper to fly into Dallas to catch a Rangers game than arrive at MSG by car. Of course that example is not perfect but you get my point. Adams is screaming for remote workers to return to their offices full time via mass transit but the Subway (not to mention the streets) remains a crime spree so who's kidding who Mr. Mayor. And as we all know the MTA is a dumping ground for cronyism and political patronage so a profound no thank you to their very porous fiscal oversight.So now you're in Manhattan and an Uber or Lyft will run you an additional $40 on top of their ridiculous dynamic pricing. Do they really want to turn Manhattan over once and for all to the gilded plutocrats for whom no cost is an impediment or imposition. Maybe they do. I have commuted to and worked in Gotham for decades (mostly on public transit) and would have no problem writing off NYC completely with my middle finger waving in the breeze.Do the Apparatchiks in NYC ever stop to consider the countless micro-decisions people make everyday about where to spend their money. If tax revenue falls 10-15 percent because tri-state suburbanites decide to venture in less often -- what happens to the majority of mainstream restaurants and theaters in Manhattan already dealing with depressed patronage. The Met Galas of the world will always be fine, it's the remaining 99.9 percent of commerce that I worry about. It's just insane.My firm belief is that NYC's government is congenitally stupid and so desperate for revenue that I have no doubt whatsoever that some version of this hair brain scheme will be implemented. Goodbye NYC you can see by my finger I think you're number 1.(BTW, if some version of this passes, there's little doubt that congestion pricing will soon be coming to a city near you.)"
