,0,1,2
0,3 star rating,,"Bart is convenient but not intuitive. The lines/ colors/ names are confusing to newbies. I just had the conductor yell at a passenger that there are no boks on the first car. Yeah, I get that. But why would they put a bart car indicating that it could accommodate bikes at the front of a line of cars? Silly..."
1,Filter reviews by 1 star rating,,"Bart is convenient but not intuitive. The lines/ colors/ names are confusing to newbies. I just had the conductor yell at a passenger that there are no boks on the first car. Yeah, I get that. But why would they put a bart car indicating that it could accommodate bikes at the front of a line of cars? Silly..."
2,3 star rating,"Oct 2, 2023","Bart is convenient but not intuitive. The lines/ colors/ names are confusing to newbies. I just had the conductor yell at a passenger that there are no boks on the first car. Yeah, I get that. But why would they put a bart car indicating that it could accommodate bikes at the front of a line of cars? Silly..."
3,1 star rating,"Aug 3, 2023","I'm sorry guys..... You failed in a most embarrassing way!!!What is up with your clipper card and it's masters degree to navigate when your kiosks are closed and you are underground with NO WI-FI!! Come on San Francisco........ this is embarrassing One of my favorite cities FAILS MAJORLY in its green effort compared to New York, Chicago, London, Italy, and even France (sorry France)Clean it up and make it more user friendly!!!!!! You made me get to the airport 25 minutes later than I expected!!Signed, Disgruntled in the City......"
4,2 star rating,"Jul 27, 2023","I know what crack smells like--not by choice. It's a bitter, acrid smell. Why do I know this? Because I've been around so many people smoking crack on BART and frankly, I'm not a fan! Can you get second hand crack? I sincerely hope not.BART is a decent option to get you to downtown centers and key neighborhoods around the Bay Area but holy hell somebody needs to clean it up! The needles, crack, violence and occasional indecent exposure are enough for me to avoid BART unless it's absolutely the best option. Parking in the city can be rough and sometimes nobody wants to give me a ride to the airport, so Im not gonna front like I don't hop on the occasional BART train and like it's not increasing access to travel in the bay. I'm just saying, it would be nice for it to be less nasty.Another issue is that BART could run a smidge later so those going out and drinking can use it to get home after the bars close. Overall, it's relatively reliable since you can track when the trains are arriving via Google maps and can plan your trip accordingly."
5,5 star rating,"Apr 20, 2023","Okay, not perfect but such a fast easy way to travel  to Bay Area & San Fran! Load your clipper card in your iPhone wallet before boarding because each traveler now needs this!"
6,1 star rating,"Nov 7, 2023",Can someone please tell me wtf is that horrible smell that always comes in that tunnel right before West Oakland
7,4 star rating,"Feb 5, 2023",Bart in General is a great way to get around the Bay Area. With the introduction of Clipper on Apple Watch I no longer have to get my Wallet out in order to pay my fares. I simply double tap the side button on my watch and select Clipper. Wave my watch at the touch pad and the fare gates open. Makes it easy for travel.The bad is that there is a lot of people cheating the fare gate system. For example at Hayward BART when I exited in the handicap section of the station someone took advantage of the open gate and walked through. And at Bayfair when I used the elevator to enter the station because I don't fare well on some escalators someone took advantage of the open gate and left the station without paying. So BART is really not enforcing these fare cheaters while the fares continue to increase gradually. The attendants at the stations seem to not care. The only way the crackdowns happen is when actual BART police is at the station.When I visited San Diego and used the Trolley Service there were active fare inspectors on every ride I was on to make sure people paid and if they did not have a valid fare they had to vacate the paid area. Bart could learn a lot from them if they invested in active fare inspectors.
8,1 star rating,"Jul 6, 2023","Disgusting, and very loud. Never been on a transportation system louder. ShouldCome with ear plugs."
9,3 star rating,"Jan 3, 2023","There is no greater way to keep tabs on the pulse of a nation than by riding its public transportation, and let me just say, the United States appears to be doing very, very well. I know there are those out there who are, for one snobbish reason or another, hesitant to take such modes of travel. In light of this troubling attitude, I am willing to help BART appeal to this potential client base by putting a positive spin on a few of the less initially... attractive aspects of their service I encountered during a recent trip. Now, was the interior of the train covered with a wide variety of debris, including (but not limited to) socks, hypodermic needles, and a half-eaten chapstick? Yes, but this can easily be reframed. Rather than advertising their trains as ""filthy,"" BART can say that each car is ""a mobile community art project, filled with emotion and creative urban collaging.""Did the car smell like it housed twenty-five feral cats suffering simultaneously from rabies, mange, and food poisoning? Yes, but this can be repackaged as ""bringing the sights and smells of San Francisco with you as you go."" Were half of the seat cushions inexplicably ripped off their chairs, leaving rusty springs exposed? Sure - ""Each car has been redecorated in its own original way to keep with the changing times."" The man behind me who flailed around wildly and ate things off the floor and then attempted to smoke a crackpipe mere inches behind my head? ""You're almost always bound to meet a local guide with intriguing recommendations.""The complete lack of security presence or anything that would make a rider feel even remotely safe in these conditions? ""Ride in complete freedom, without fear of a tyrannical authority figure ruining your evening's fun."" Yes, BART is a lovely way to travel - just bring Lysol and weapons."
10,3 star rating,"Nov 18, 2022","I judge a city's public transportation chiefly on whether it gets me where I need to go. I can't say that's the case for BART, or frankly, any means of transit that doesn't operate 24/7. People need to travel after midnight, whether they're out on the town or headed to/from work. When that isn't an option, it creates problems. For me, this meant a difficult time getting from my hotel to the airport. For others, I'm sure they're more significant & can't always be solved by calling a cab.Trains aren't well maintained or especially secure, often with garbage & unhoused &/or mentally unstable types making riders feel unsafe."
11,1 star rating,"Jul 29, 2023","As a visitor, I found Bart a combination of confusing, broken, and expensive. The transit card purchased at the airport doesn't work elsewhere, which is not communicated anywhere. The card dispensing machines are mostly broken but not labeled as such. Our visa credit cards didn't work. We could only purchase 5 cards on our ATM cards but have a party of 6. There are so many modes that I cannot navigate how to get around. The clipper app requires that I provide my phone number and address. Why is they needed to ride a bus? What an unnecessary intrusion. I won't use it.I've travelled a lot, and this was a relatively stressful and difficult transit experience."
12,3 star rating,,"Wow, I can't believe some of the BART stations do not take credit cards, only cash or debit.  I heard they are upgrading their ticket machines.  So many people don't carry much cash anymore.  Besides being expensive and nasty, why wasn't the machines updated 20 years ago."
13,Filter reviews by 1 star rating,,"Wow, I can't believe some of the BART stations do not take credit cards, only cash or debit.  I heard they are upgrading their ticket machines.  So many people don't carry much cash anymore.  Besides being expensive and nasty, why wasn't the machines updated 20 years ago."
14,1 star rating,"Dec 1, 2022","Wow, I can't believe some of the BART stations do not take credit cards, only cash or debit.  I heard they are upgrading their ticket machines.  So many people don't carry much cash anymore.  Besides being expensive and nasty, why wasn't the machines updated 20 years ago."
15,1 star rating,"Nov 16, 2021","Since the Covid pandemic, Bart riders are scarce.  I was taking BART to the Powell Street station.  This BART station  is homeless central...dirty, crazy homeless people on drugs. Not all entrances has escalators, be prepared to go up or down lots of stairs. The signage was not working so could not determine which train was approaching. Fares prices keep going up, yet the cars are filthy and not sanitized.  Some of the cars are 40 years old.  Time to upgrade to all new cars and get rid of the old cars."
16,2 star rating,"Feb 13, 2017","I am an occasional BART rider and usually a rider on weekends.  Sundays are the worse as there are no direct trains to San Francisco from Berkeley. It can take up to an hour from Berkeley to downtown San Francisco, so you have to plan accordingly.  With all the people riding BART, it makes no sense why there are no direct routes.  Trains are dirty, smells like urine.  Most times, even on weekends, there are no seats available.  However expensive this system is, people take BART because they are the only convenient public transportation available from the East Bay."
17,4 star rating,"Jan 24, 2023","I braved BART today! Not bad! I was preparing to take pictures to add to my friends ""Bart Angst"" file.... But to my relief... I found none. I rode a long way from Ashby to SFO during morning rush so there were a lot of opportunities. I had a seat! The car didn't smell bad...nor good. There were no delays! And people filed on and off without any riffraff.BART deserves a better rap... And it needs new seats with wipe-able, indestructible, recycled plastic fabric!And it needs the ironed on gum and detritus   scraped off the floor! And a good window cleaning! Would be a 5 Star true mass transit for all! Hey... Maybe the decommissioned old cars could be used as free health clinics on Bart grounds and  homes for those in need too? Just saying... Let's BART again!"
18,1 star rating,"Jul 10, 2023","BART is one of the worst transit systems.  All the reviews about dirtiness, out dated cars, riders jumping the fare gates not paying are all true and the sad part of it all is that BART does not really care what the condition of their transit system is.  First the cleanliness of stations and trains -- People who clean stations and train cars are mostly part-time employees that BART does not budget for, so they spend a bunch of money hiring part-time employees who may stay for 90 days or less so you never have a steady amount of cleaning personnel.  Plus the way they clean is disgusting.  The mop that is used to clean the floor is the same mop used to clean the escalator handles.  Lastly, the elevators staying clean is the responsibility of the patrons to advise the station agent of the dirtiness so a janitor can clean it.  Actual signs are posted in the elevator alerting riders of this.Out Date Cars -- The cars are out dated, but don't worry they have those fancy new cars, but unfortunately, by the time all of those cars are on the rails the technology will be out dated.  The same technology BART thinks is so amazing on their new cars has been on cars in the NY subway system for years before BART rolled out the ""Fleet of the Future""....only question is at what point in the future?Checking Fares -- BART spent a bunch of money on individuals to check passengers to see if they paid their fare.  The only problem the amount they hired in comparison to the number of trains that are on during any part of the day resulting in this to be a useless program.  If they were serious about the fare issue they could have a conductor like trains such as Amtrak such have that go through the car and check tickets.  This one individual, or at least two individuals could easily go through the entire train for an entire shift checking fare payment.  Problem solved.Internal Culture -- The culture inside the organization promotes individuals who have no qualifications to be in positions they are in, or set qualifications that will exclude well qualified people from applying.  Sadly, some individuals are so arrogant in the organization is that they actually tell people who work under them that there is no reason for them to apply for a position because I am going to get it.  They call this professionalism...hardly.Overall, BART is not a good resource to use either as a tourist or a commuter.  As one reviewer said you are better off getting a rental car."
