Rating,Date,Review
5,"Nov 10, 2023","CTA in Chicago is for the most part very reliable.It takes me from point A to B as well as C .Its waaaaaay better than driving especially in the downtown area.Many CTA bus and train routes run 24 hours.Just need to figure it out.You can put me anywhere in the city at any time of day or night and I can guarantee you CTA will get me to my destination.Sure,there is homeless people sleeping on the train at times.Sometimes CRAZY PEOPLE.But overall I know Chicago CTA is very beneficial and even critical to those of us who use it on a daily basis.Shout out to my bus and EL peeps!!! Aaaaaaand THANK YOU for always being there!!!"
4,"Jan 7, 2023","I refuse to compare the Chicago ""L"" to the New York City subway. I will not. To do that is literally comparing an apple to an orange and that simply is not fair.What I will do is praise the heck out of this system. It is clean, safe, reliable, and extensive. Those are my only similarities between the ""L"" and the subway. After that, things vary, and not just because most of the system is above ground, hence the ""L"" nickname.I found most people on the trains respectful. Not many panhandlers, and the rule about no bikes on the trains during peak hours is strictly enforced. I was on a train where a cyclist tried boarding with a bike and the motorman announced ""No bikes during rush hour."" To enforce this, the train would not move until the cyclist disembarked. That would never happen in New York City.Once you get the hang of it, navigating around the Loop is rather easy and fun. There are plenty of lines to pick from, and they all pretty much get you where you need to go downtown. Once they branch off the loop, some of the lines run express outside downtown, making it even easier to get around.From a railfans' perspective, it is an absolute delight. I found a parking garage that overlooks Tower 18 and you could easily spend several hours watching trains traverse this intersection. It is like watching vehicle traffic as trains stop to allow other trains to pass by or merge onto another track. Sometimes you can see up to four trains come together! It felt like a model train display being brought to life.I could also talk about METRA, but that is for another review."
1,"Oct 20, 2023",Reading these reviews I had to throw in my thoughts. I would say 90percent of CTA employees are rude and lazy. Ridiculous.  If you have a complaint call the station directly and ask for a Manager. (You can find the numbers by looking at the Lost and Found numbers on their website). To the person who said white neighborhoods get quicker service..no..all neighborhoods have terrible service..partially due to them being understaffed. And to the person in O.P. saying the homeless are along the tracks? You must mean outside the tracks. That's not CTA property. Sadly seeing homeless in big cities and nearby burbs comes with territory. I noticed you have another review complaining about the homeless..maybe a major urban area is not for you. Just sayin.​
4,"Mar 5, 2023","Coming from a big city with a shitty transit system, it's hard to judge CTA harshly. The only reason I'm on here is to express my pleasure with the staff working the morning of March 1 at the Merchandise Mart station. She was fan-f*cking-tastic! We couldn't figure out the machine and she didn't think twice about coming over and helping us. Then she shared a trick with the zip code for out of towners, and told us to not use our debit card while were in the city. Loved her and she kicked off what turned out to be a great day on the L.Dropped a star because waiting 20 minutes for a train feels weird coming from a city where a train comes every 2-5 minutes."
1,"Apr 13, 2023","CTA is just as racist as the rest of AMERIKKKA! Service is RIDICULOUS in the Black neighborhoods!White people in the more affluent communities don't have to wait 20 and 25 mins for a bus DURING RUSH HOUR! You charge like passengers get door to door service and most of the time you people don't clean the bus stops from snow and ice! You suck but at least you are consistent, you've always sucked! During this pandemic I haven't seen ONE power washer on the L platforms and then you have the nerve to say you are deep cleaning!And whoever  decided to change some stuff f these bus stops apparently never had to catch the bus on a regular basis in their lives! You shouldn't have to walk a half of a block to get to your connecting bus stop! CTA YOU REALLY REALLYSUCK!!!"
2,"Jul 14, 2023","Never ask any of the employees ANY TYPE OF QUESTIONS because their responses will be rude as hell. Just absolutely rude. I don't normally say I strongly dislike strangers but some of these employees are so rude and in the worst moments too, when you're struggling to find your way in the city they are not the folks to help you out and just will make you feel bad for not knowing the city and the transit system...this sounds mean but I've tried to be so nice for 5 plus years about the cta and i am about through"
2,"Mar 26, 2023",I don't even know where to start when it comes with my issue with CTA and that's my review
1,"Aug 27, 2023",Why say the bus will be here at certain time but never shows up? This always happens during Saturday or sundays for 81W. At least don't lie on your system that a bus will be coming when in reality you have to wait for the next upcoming bus instead..
1,"Aug 3, 2023","literally horrible, to be standing for 30 + minutes and yet say that your bus has departed when it hasn't? at the correct area for pickup as listed online too. Also, why do you guys have two separate areas for 81W to get picked up? online it shows I should be at one location but now this has me thinking you guys don't have your schedule together and the bus is at the other location ?? fix your s***"
1,"May 19, 2023","BAD. trains are NEVER, NEVER on time! What the hell? Constantly 30 min delays, doors close after 5 SECONDS. I would much rather ride new york transit and thats saying A LOT. whether i come extra early, or just on time for a train they are NEVER ON TIME. I have had to relocate my gd job because of this. RIDICULOUS AND SHIT TRANSPORT. youd be better off paying a local to piggy back you all the way to downtown."
1,"May 6, 2023","For commuters who rely on the trains outside of peak periods, avoid at all costs. Train arrival times are falsely advertised so that you pay the fare believing a train arrives in 5 minutes, only for that train to mysteriously disappear and have the next one arriving in 30 minutes. This also creates long waits at night in subway where crime frequently occurs. Because of this I will be relocating close to work to avoid any future reliance on the CTA. Use at your own risk!"
5,"Oct 25, 2021","This review is for the CTA BUS-Chicago Avenue LOST & FOUND..Have you ever left personal items on the CTA BUS and wondered how to find out if your ""lost items""  were in fact ""found""?I went on a Sunday Journey to Crate & Barrel to buy a few small culinary items.....then went to get groceries before taking the 72 Bus back home.It was in the afternoon and raining and only myself and another person were on the bus and we both got off at the same stop.Unfortunately, I forgot my Boxed Up Crate & Barrel Culinary Purchases on the seat directly behind the rear exit door.BUMMER!I got on-line to research how to see if there is a CTA BUS LOST AND FOUND.YES...YES...YES!The direct number is: (773) 638-3083Prompt #2 directly connects you to a ""human being!""I called immediately after I got home and the Lost and Found Attendant said to call back later as the bus driver/bus was probably still out on ""the job.""SO I WAITED and CALLED BACK THE NEXT DAY-Someone who said ""Lopez"" answered and listened to my inquiry on my Crate & Barrel Box ""Lost items"" and then checked and said that the box HAD NOT BEEN TURNED IN...aka the items were still ""LOST!""I thanked him and hoped that someone else was enjoying my condiment bowl,  4 appetizer plates, a festive pumpkin dish towel, and hanging Christmas Tree Cut Out.Lopez said that he would take my number and call if indeed it was turned in to the Lost and Found CTA BUS Department.  Very thoughtful and it is nice to actually know that people DO CARE...even about small things...THANK YOU CTA LOST AND FOUND!5 STARS for the Professionalism and Caring Spirit and for even having a Lost and Found that is staffed by ""real"" Chicagoans who try to help make the world a better place!"
1,"Jul 27, 2023","consistently late, having delays, and every train smell of smoke or over saturated with the homeless. So the people who pay to ride always get the short end"
2,"Jan 24, 2022","The CTA can do a better job at not succumbing to the mandates given by whom ever regarding the mask mandates. I have also been to the 79th train station recently and it looked as if the tracks hadn't been cleaned in months. So let's keep the tracks clean. Also, it's literally a snow day on 1/24/2022 and the Wallace bus normally sits at the stop for a few minutes and today they decided not to wait. They also did not take initiative to get the fallen crossing signs fixed by IDOT for the customers crossing from the other side of the street. There's a lot of room for improvement. Still grateful that he city has the public transportation we have, just gotta make sure we don't spend billions on one train stop (Washington and Wabash) and forget about everything else that needs to be taken care of.9:54am update: spoke to Randall in CTA customer service and seems as though he was bothered I had complaints about CTA. He ignored some things I mentioned and also interrupted me while in the middle of speaking. Also, the cover stickers on the glass windows  in the orange line halsted station need to be removed so customers can clearly see when the buses are arriving."
4,"Sep 26, 2021","Took the train from Midway airport to downtown Chicago. The station is a ground level station and on the Orange Line. There is indoor and sheltered bike parking available. This is also a bus stop. The $10 1-day CTA fare pass is affordable and you get to ride as many times as you want in a day. The ticket machines are easy to operate and if you take your time and follow the instructions it is not complicated. I had a little trouble with entering the terminal as I didn't see the sign change on the display on the turnstile. So I had to be let in by the agent. I'm a hot mess. The train was already waiting so we got on board. There are maps on the top so you can see the different stations and find the one you need. The ride was smooth for the most part and it was not crowded both times we rode. The train is on a platform downtown and it was strange to ride between buildings and be able to look into someone's room since we were so close. It feels like the buildings press against the train. When we got out, we made our way through the turnstile and down to the street. On the return, we found a station and took the stairs up and went through the turnstiles. There are elevators if you need. And the signage tells you which side of the platform you need to be on depending on your route. It's actually pretty easy compared to other train systems I've ridden on. They announce the stations where you can transfer to another line at so that's convenient."
1,"Mar 10, 2023","NO STAR, OR STARS NEEDED FOR THE SHITTY TRANSIT OF CHICAGO.Snow is needed to be removed.........always.CTA Employees always sitting on asses in there little silver boxes.Machines are always down.......The prices continue to be raised, but the customer service continues to suck! Hell with the amount of money going into repair tracks, how about making sure there's a elevator at EVERY EL STATION FOR PREGNANT WOMEN, HANDICAP CUSTOMERS, ELDER PEOPLE, ETC!!!!!"
1,"May 21, 2022",Horrible service and it's not even due to COVID travel times are horrible at train stations employees are rude as well and seem to never know anything I have been late for work almost everyday for the past two weeks due to cta get it together
1,"Feb 1, 2023",Poor customer service. Stranded in snow storm and wail long long time with no busses on sight at Chicago freezing temperature.
1,"Dec 29, 2022",Stranded in the middle of a snow storm and forced to change buses due to late relief worker. Poor customer service!
2,"Dec 23, 2022","The CTA gets 2 stars instead of 1 because I find the 76 and brown lines relatively clean; I also appreciate the low fares. The scheduling, however, is completely unpredictable and unacceptable. The Ventra app provides up-to-date information on the arrival of buses/trains, but it's notably wrong the majority of the time. I understand traffic, weather, and personnel issues that affect transit times by a few minutes, however, about half the time the bus never shows. Today, this occurred while I was standing in -30 wind chill. The bus never arrived when ""due,"" and the app updated to show the next bus coming 15-20 minutes later. This is a repeatable occurrence. As an environmentalist, and as someone who believes in public transit, I wish CTA would just get it together. I'm not sure how anyone could depend on them for work transit."
2,"May 12, 2022","The bus drivers have gotten done right mean lately. I didn't get on 147 going north because it wasn't going to Howard it was only going to Devon. The next 147 after it was going to Howard. When I got on the female bus driver asked what was wrong with the first bus, as if I wasted her time picking up me. I told her it was only going to Devon. I always say thank you getting in and off bus. The bus drivers should snap at the customer who is rude not at people like me."
1,"Apr 17, 2023",it used to be good and safe now it is dangerous the bus are safer than the trainsin the trains they smoke drugs and use cars as bathroomsthe police should travel in 2 in the trains asthe conductos safety is also at risklate nights and tomorrow at lt mornings are dangerousthey also sell all kinds of stuff in the trainsthey have good people that have their hands. tied as they are also not safe
3,"Jul 17, 2023",some drivers are ok and but some bus drivers are rude and inconsiderate .  they spend more time talking with passengers rather then focusing on the road .
1,"Jul 12, 2022",How. How is it possible one has to wait 18 minutes for a train during rush hour? These lame-o Covid excuses are wearing so thin. Get your act together CTA!! You out got over 1.43 BILLION dollars in funding!! WTF!?!??
4,"Aug 19, 2021","Fast and often. CTA did a pretty job of getting us around the Windy City. Their multi-modal- they have trains and buses. You can use your Ventra card on all of them. I ended up caving and getting the Ventra app, which links up to your credit card, so you don't have to handle tickets and the machine being out of order. It's great once you get it set up. It took some practice to get down how to position my phone on the card reader. You use the phone to draft your account! The buses were swift, with lots of stops nearby. I was disappointed that many of the stations in the loop don't have wheelchair access. You gotta plan ahead if you have a wheelchair or something. The ADA wheelchair icon can be found on many, but not all the stations on the map. I got chewed out by one bus driver for not announcing getting off the bus fast enough. But that was on me. If you miss one bus, there's another one coming shortly, or another one nearby that'll come get you. It sure beats driving in this town."
1,"May 31, 2022",Very bad experience with the cta they wouldn't come on time
