,Rating,Date,Review
2,5,"Jul 26, 2023","I had to compliment WMATA on the shuttle service from College Park to Ft.Totten. I have been greeted with so many warm smiles and friendly directions and guidance to the shuttles!!!! Ty All! Hey, and honorable mention on the increase in security on and around the trains!!! In the past I have been harassed on 3 different occasions, and was seriously thinking of driving to work. As of recently, I'm quite comfortable knowing security is visible and obtainable quickly. Keep up the improvements and great work!!! Thank you!"
3,1,"Oct 27, 2023",Since when did metro close the doors to their under serviced lines before the group of people WAITING to get in could even get in. That is unimaginably frustrating. Blue line to Franconia Metro center at 2:56 pm today.
4,1,"Sep 29, 2023","So many things wrong with wmata I can't even begin to list them all.  For one, this morning toda a train derailed.  Maintenance seems to be the #1 issue, followed by people jumping fare gates. It wouldn't seem so bad if it happens once in a while, but to see it happening every since time I go through fare gates as I'm coming and going is a little much by people who don't care who else they affect"
5,5,"Sep 23, 2023","I WFH, and WMATA has been very helpful in my mobile access to things I need in the city (5 stars)."
6,4,"Sep 18, 2022",I took the metro while visiting DC. I began at Federal Center to the Pentagon. Then Pentagon to McPhearsonThe McPherson to the Smithsotian and back to Federal Center. I am concerned to take the metro since I am a turist but the metro was somewhat clean. I downloaded the metro app and it was very helpful. Very easy to travel to all areas I needed to go. I will highly recommend the use of the metro when traveling and visiting DC.My full day pass cost $12.00
7,1,"Sep 11, 2023","Less than zero. Some bureaucrat decided to replace all the metro maps on the platforms with advertising monitors that only show a metro map once every 20 ads or five minutes so forget about using one to figure out your route. It's the ultimate insult to customers. It says ""we literally DO NOT CARE if you get where you're going so long as our advertisements generate revenue."
8,3,"Jul 27, 2022",The Georgia Avenue Limited Line is the Bus 79 Metro Express between Chinatown and Silver Spring.The limited number of stops has advantages to theBus 70 on the same route. The idea and effort is tobe commended. There is a definite need to easilyconnect these two areas overlooked by Metro routes. The fares are currently the WMATA regular bus fare.Time saved is probably not worth a premium bus fare.
9,3,"Jun 22, 2022","Senior SmarTrip card costs $2 and provides $1 Metrobus and 1/2 off peak Metro fares.Other suburban bus fares are also discounted. Retirees have the advantage of flexible schedules.Unfortunately, school and work years were less enjoyable."
10,3,"Jul 11, 2021","Beauty is in the eye of the beholder.Being a native Washingtonian, public transportationis dear to my heart. My first date was via Metrobus.As a high school student, it was my only method of transportation.As a college student, frustration dominated my experiences.As a parent and adult, my coworkers and family are appalledby my transportation choices. Kudos for addition of DC Circulator.Now as a senior citizen, this is my preferred way of getting around DMV.Still gritty and grimy, yet useful and underappreciated.If you want to go fast, go alone.If you want to go far, go together."
11,1,"Aug 20, 2023",The man who works at the Judiciary Square stop should be fired or get some customer service training. So rude. Unnecessarily mean. Get some customer service training.
12,1,"Aug 18, 2023","You have a lower approval rating than Trump in the deep blue city of Trump. That is saying something. But well deserved. Let's see. First you built stations a mile deep. Then you realized open air might be better. Except when the whether is bad. Nevermind, it was the wave of the future. Then you figured the trains could drive themselves. Until the other part of the system malfunctioned and 18ish people died. Then you figured high tech trains would solve. Until your crappy tracks broke them. In between, you retired the old metro cards until you retired the new metro cards. Then the wave of the future hit. A million layers of security to transfer a metro card with $5 dollars on it to the lap. Including having the actual metro cards because that is"
13,2,"Aug 13, 2023",Why is it that wmata's mobile and card management so dysfunctional? What is the obsession over having a physical card if you use mobile app? Changing phones requires using original smart card to install in new phone wallet. Why can't wmata implement a more simple approach like the NYC subway has?
16,4,"Jun 28, 2021","The DC metro is pretty awesome! Having lived in several cities, I find this metro to be easier to navigate, cleaner, cheaper, and more reliable than metros I have taken elsewhere (especially in the northeast)! Sure, maybe not the most luxurious mode of transportation, but we are lucky to have this system in DC which enables us to travel around our city with minimal impact to traffic or pollution.Pros:Cleanliness: The metro is extremely clean, in my opinion. Compared to metros in other major cities that I have taken, each stop is generally taken care of, smells ok, and I never feel disgusted sitting on the metro. You do of course see rats sometimes, but this is pretty much commonplace in every metro system, I believe.Easy to navigate: It is easy to navigate the metro system in DC. The cars will update to tell you which stop is next. Maps are present at each stop, and operating the machines to get a ticket is pretty easy as well. If you are confused or in need of direction, I have found the metro employees to be generally friendly and helpful as well.Price: The price of taking the metro in DC is awesome. You can get a pass for multiple rides which will account to some savings, if you are taking the metro frequently. If not, you can ride most places for about $2 a ride. This definitely beats the price of Uber, Lyft and Taxis if you are willing to walk a little to the stops.Reliability/Speed: I find the metro to be decently reliable. It does occasionally run a couple minutes late, but generally arrives on time, and doesn't encounter too many delays compared to other subway systems I have ridden on.Airport Access: If you need to get from DC to the Airport, let me assure you that taking the metro is the fastest and cheapest way to go (unless you have a lot of bags to carry, I suppose, in which it might be nice to get a ride). The blue line pulls up right next to the airport, though, and makes it a very convenient ride.Crowdedness: The metro doesn't seem to be as crowded as other subways I have taken. I tend to get a bit claustrophobic when I am pushed up too close to someone, but I have always felt very comfortable taking the metro around DC.Cons:I will say that the only con I have sometimes is that I live in Georgetown, and there is no metro stop super close to where I live in particular. Foggy bottom and Dupont Circle metro are within a 15-25 minute walk fro me, but there is nothing super close, which is a little bit of a bummer sometimes!"
17,1,"Jul 19, 2022","Explain to me how the bus spontaneously comes 5 minutes earlier than the scheduled time just because... or how the bus just never shows up, even though it says arriving and departing on the map while you're literally standing there at the stop... or how your only form of communication about a new stop location is in bold typing on a piece of computer paper taped to a window. The train and the bus have been late many times before, but I've made it work. The train has broken down before, but I've made it work. The bus hasn't shown up before, but I've made it work. However, today was extremely unacceptable. I know COVID has hit your system extremely hard but there is absolutely no reason your communication and knowledge on a situation is this terrible. My normal stop is at DOCTORS HOSPITAL RDWY & BUS SHELTER which services the G12 or PG16. These buses run every 30 minutes to an hour and if you miss one, you just have to wait for the next. Even before today, this stop has a history of buses that never show up or end up arriving extremely late.This morning, I got there on time praying at least one of them would show up. There was a piece of printer paper taped to the window saying ""until further notice, the bus will not stop here, but at the 7/11."" This hospital is on a hill, but the 7/11 is down the hill and around the corner. I'm looking at the older woman standing next to me with her cane, trying to figure out what to do since we now have to rush to the 7/11. I was able to get her to the professional entrance of the hospital where she was able to call an Uber, because again, we're on a hill! I finally made it to the 7/11 only for the bus to stop nearly 2 blocks BEHIND the store. I'm standing there trying to flag down the driver to at least ask a question and we're throwing hand signals at each other since he can't open the door. I was finally able to understand that he wasn't stopping at the store, but a block and a half past it. The store is at a busy intersection and NOW, I have to run through the light to catch the bus. When I finally got on, I asked if he knew he was supposed to stop at the store and that there was a paper at the stop saying the location had changed...  ""I wouldn't know since I don't go back there."" He wasn't even aware there was a stop change! How could he be?! From the piece of paper that could've blown away at any minute? WMATA, let me tell you something... it doesn't make any sense that I literally had to run a marathon today just to catch the bus. I didn't even know who to be upset with this morning."
18,1,"Dec 27, 2022","****WATCH OUT FOR STATION MANAGER C.SMITH UNRULY BEHAVIOR****Date:12/27/22Train: Silver LineApproximate time of incident: 9:06amLocation: Greensboro StationStation manager name: C. SmithAs I was exiting the Silver line train at the Greensboro Station, I went to the bathroom and it was locked. I go and ask the station manager C.Smith if he can please open the door? and he had a very disgraceful and unprofessional, unruly attitude as if he was having a terrible morning already and said the bathroom is already opened. I said it's not, he said ""yes it is and yelled at me and walked away. I tap the window to get his attention since he walked away to advise, if he can open up the bathroom one more time and he got mad and said ""Now the bathroom is close have a good day"". Unbelievable,  I was refused to use a public bathroom. I am a Metrorail paying customer. This was uncalled and unfair that a WMATA station manager refuse a customer to use WMATA restroom because of his personal feelings.""UNBELIEVABLE""According to the WMATA guidelines it stipulates:WMATA advises patrons-in-need to obtain permission from individual Station Managers. WMATA expects that in almost all cases the station manager will honor a customers request to use the facilities."
19,3,"Apr 22, 2021","4/22/21Whether I was taking the Q2 to Weaton, Montgomery College, Lake Forest Mall,  Weaton Mall or Silver Spring, Metro Transit is what I used to get from A to Q.  Most of the time I had pleasant experiences on the bus.  Most of the time the buses were pretty clean, but there were times the buses were not or them smelled bad.   This was mostly do bad hygiene or  people sweating, because of the heat.I have seen arguments on the bus; as well as physical altercations, but they never got fully out of control.   I did enjoy watching these events transpire.  The Metro/Subway:In the beginning taking the metro was pleasant. I enjoyed reading my books for a 45 minute ride. I enjoyed experiencing the No Pants Day during the Winter Season. I enjoyed riding the subway during Halloween and seeing people dressed up. I will never forget seeing a woman dressed up like Olive Oyl getting into a argument with her boyfriend dressed up as Popeye.I will never forget the homeless man stinking up the whole subway car. The smell hit everyone's nose like a ton of bricks..The only thing worse than the homeless man were the delays on the train. Several times it caused me to be late for work and nearly fired.  The other problem I have experienced are the horrible personalities of some station managers. I have asked a legitimate question and got 15 second pause before he answer in a not so nice tone.  WTF!? Hopeful hiring people with better manners is something that is being done.The Subway had a lot of problems going on, but I hope they have been able to turn this problem around. I haven't been on the subway or bus transit system for a while. I am curious to see what has changed in the years I have been away from them. I hope they are better now."
20,1,"Jan 18, 2022","I moved away and submitted a card for refund, exactly as directed by WMATA when I called them originally in Oct.. Now they refuse to refund the $28.30 that was left on the card, even though they readily admit that I returned the card and all records show that amount remains on the card. They pass you from person to person, no one knows the other... they all have a different story and none make sense. They just wear you down and keep your money. I believe someone is skimming and no one wants to admit it.    Best advice...do NOT give them credit card number to ""auto load"". Instead, add to your card with cash or CC on your own so they cannot ""auto load"", charge your CC, then refuse to refund unused amount."
21,1,"Oct 22, 2022","WMATA Metro is legit trash they operate as if DC is a third world city. Very unreliable especially after Covid pandemic. Maybe because more people in DC drive compared to New York, they don't bother fixing the issues,"
22,2,"Sep 7, 2021","I was offered a small $8 partial refund on my wasted DASH pass.  $8 dollars... That doesn't make up for the $40 in fares I paid while waiting for my pass to finally activate.... I told them to keep the $8. DASH busses are now FARE FREE and no longer even have a DASH pass as of 9/5/21. Thank you to DASH for stepping up and going fare free.... I wish all regional buses would jump on the same bandwagon. as for WMATA, 2 stars now because I was offered some assistance... but at the end of the day, I will stick with not loading any kind of passes to my card and just pay cash at the fare box to add money to my card, seems any other option for adding money to a card takes hours or even days.... they need to step up their game when it comes to the online purchase of adding to a card."
23,1,"Sep 3, 2021","bought dash pass 8/3, wasn't loaded until 8/16, when it did finally load it listed on the website as being loaded on 8/1 so my 1 month dash pass only lasted from 8/16 to 9/1 and then it expired... what a rip off. Ill just continue to pay for full price rides, I lost probably $40 on the whole deal of buying a 30 day dash pass that only worked for 15 of those days. Total waste of money."
24,1,"Aug 11, 2021","horrible.... bought a dash pass as I take dash bus 2 times daily... $45 for the dash pass on 8/3  as of 8/11 dash pass still not loaded to my card... called customer service and was advised they would ""refresh the card"" I use my card EVERY day... I loaded my dash pass on 8/3.... it's 8/11 and I am still paying $2 bucks a clip for a ride when it should be covered under my pass that I paid $45 for 2 weeks ago... I will NEVER buy a pass again... they have gotten at least $40 out of me for bus rides that should have been covered under a pass I bought a week and a half ago... F*ck WMATA..."
25,2,"Apr 8, 2017","After relying on metro rail and buses for a solid two years, I just one of the worst disappointments today. The 16B bus never showed up, and I gave up after about 40 minutes. To think that there must be others like me who ride the bus to work and some person/people's doing/not doing their job affects our ability to get to our workplaces on time outrages me at least a little bit.What is with the live schedule data, by the way? There's ""old data,"" ""scheduled data"" and unspecified data, and in today's case, none of them reflected the actual running of the bus service. Let me also mention how reliably late at least the 16B route buses are, and that I honesty cannot count the times I have been forced to be late for work because of this unreliability. On a positive note, I appreciate that there is a public transit system at all, especially for those who do not have a private means of transit."
26,4,"Jun 26, 2016","As a relatively new resident of the DC/Virginia, I want to focus on what works for me and the benefits of the Metro service for my current needs. I think WMATA provides a decent system of public transport trough rail and bus service. Sure, the expected ""major"" service disruptions due to SafeTrack add a little anxiety because I regularly rely on the Metro for commute, and I've heard that this major repair work is a result of years -some say decades- of neglect and mismanagement. Maybe the disruptions will be so great that I might feel differently about WMATA weeks and months down the track, but for now and so far, it has been pretty great and reliable. And it looks heaps better than the NYC subway! There have been several occasions where I felt like making a formal complaint but decided not to, including one time at Rosslyn station the blue line trainer people out but shut the doors so quickly after people got odd that dozens of people including me didn't get a chance to board the train. I hope they keep improving and complete the system upgrade successfully."
27,1,"Nov 27, 2018","Constant delays, several hold ups, many out of order, always late, oh yes and smells bad"
28,3,"Aug 2, 2017","WMATA is definitely the most expensive mass transit system in the United States to use. With the price based on your starting and ending points, I'm still wondering why they are short on revenue, but being short on revenue is the story of most mass transit systems. Almost half  of the system is underground. I didn't experience any of my trains being delayed (which I know was a major complaint among the locals). However, I did experience escalators being out of service and being serviced at every station.  Rush hour was a breeze, no issues as far as missing connected trains.  The stations could use more lighting on the platforms  ."
31,1,"Sep 10, 2018",WORST. METRO. SYSTEM. ANYWHERE!!It's not just the incessant stopping and starting over and over... IT MAKES NO SENSE! HOW do you stop 3ft short of the mark in a station repeatedly?!? OrWHY would you need to stop 1 train length into a tunnel for 6 stations in a row?!?ITS THE 21st CENTURY!!! Get with the program.The service is a national embarrassment!
32,1,"Nov 6, 2017","One star now... I don't know whose bright idea was it to single track on the weekends on the red line. Here I am at Grosvenor and I find out that trains are running 30 minutes behind... so my day is already ruined thinking I'm be on time to an event, i had to wait for the old train to go to the slim shady station and come back here... friends asking me where am I! So almost 45 minutes later the train arrives... then a few stops later a lady enters with her flea infested canine. It was in a dirty knap sack with no vest. Obviously not a service animal. Then a young cat decided to sit next to me smelling like a brewery and decides to eat his cheetos and ice tea and leave his trash on the seat when his stop came. This scenario is all to common on metro. At Chinatown metro you see all types of mice and large rats running through the platforms. Don't take the Green line going into D.C. At night either.  Escalators and elevators are always out of service!"
33,2,"May 16, 2016","The worst mass transit system in the country! Yes I said country! NYC is better and it's much older! It's very unreliable and unpredictable! The trains are now single tracking which causes major delays especially now. General manager hasn't done much through the years and now all of the sudden is making drastic changes. At times when I'm on the green line or red train stops in the tunnels for long periods of time without notice. Fares always increase yet service continues to deteriorate. Kids on the trains run the show during  PM rush hour. As of June 3rd the subway closes at midnight, so they can supposedly fix the issues. Something they should have done from the beginning. Not good for club goers or club promoters. Be on guard when on the train especially on the green line, leave early and plan ahead because there will always be delays. Worst lines are red and green line. Avoid metro center stop. No air. Very few train cabins during rush hour."
34,1,"Jan 4, 2022","Peaceful peaceful rising. I boarded the train to work on 1/4/22 @ Congress Hts Metro toward Greenbelt.  Much to my dismay the train conductor announces the train will be dumped at Navy yard and a shuttle bus will be waiting I hadn't been on the train 10mins before our peace was penetrated. The passengers get out the station NO BUS ANYWHERE TO BE SEEN. People are scrambling to access Uber, Lyft reception was bad so the buffering continued in addition to no cars being available. One of metro constituents announces SHUTTLE BUS WILL BE ARRIVING! In ten minutes or!! NO BUS EVER CAME unless it came after I access my Lyft. It was well over an hour of waiting. Chicago has a system that runs above ground and it's robust in sound never have you heard of the mis fractions that continue to occur on this system. NY has a very very extensive system you never hear of derailments NOTHING compared to what I've experienced upon my arrival to DC. Clearly the ball is being dropped in reference to improving the mis fractions that continues to occur. I pray Sincerely that WMATA will rectify all that continues occur. Has  the loss of life meant anything?? There is 361 days to better accommodate those of us who use this type of transportation for getting to our bread and butter. Appreciate any kind of taking ownership of today's turn of events before 7am this morning. Appreciate you B...."
35,5,"Oct 30, 2018",I'm much appreciative of the WMATA employees for assisting me with obtaining an item I dropped on the train tracks. They were very helpful.
