Rating,Date,Review
5,"Jul 26, 2023","I had to compliment WMATA on the shuttle service from College Park to Ft.Totten. I have been greeted with so many warm smiles and friendly directions and guidance to the shuttles!!!! Ty All! Hey, and honorable mention on the increase in security on and around the trains!!! In the past I have been harassed on 3 different occasions, and was seriously thinking of driving to work. As of recently, I'm quite comfortable knowing security is visible and obtainable quickly. Keep up the improvements and great work!!! Thank you!"
1,"Oct 27, 2023",Since when did metro close the doors to their under serviced lines before the group of people WAITING to get in could even get in. That is unimaginably frustrating. Blue line to Franconia Metro center at 2:56 pm today.
1,"Sep 29, 2023","So many things wrong with wmata I can't even begin to list them all.  For one, this morning toda a train derailed.  Maintenance seems to be the #1 issue, followed by people jumping fare gates. It wouldn't seem so bad if it happens once in a while, but to see it happening every since time I go through fare gates as I'm coming and going is a little much by people who don't care who else they affect"
5,"Sep 23, 2023","I WFH, and WMATA has been very helpful in my mobile access to things I need in the city (5 stars)."
4,"Sep 18, 2022",I took the metro while visiting DC. I began at Federal Center to the Pentagon. Then Pentagon to McPhearsonThe McPherson to the Smithsotian and back to Federal Center. I am concerned to take the metro since I am a turist but the metro was somewhat clean. I downloaded the metro app and it was very helpful. Very easy to travel to all areas I needed to go. I will highly recommend the use of the metro when traveling and visiting DC.My full day pass cost $12.00
1,"Sep 11, 2023","Less than zero. Some bureaucrat decided to replace all the metro maps on the platforms with advertising monitors that only show a metro map once every 20 ads or five minutes so forget about using one to figure out your route. It's the ultimate insult to customers. It says ""we literally DO NOT CARE if you get where you're going so long as our advertisements generate revenue."
3,"Jul 27, 2022",The Georgia Avenue Limited Line is the Bus 79 Metro Express between Chinatown and Silver Spring.The limited number of stops has advantages to theBus 70 on the same route. The idea and effort is tobe commended. There is a definite need to easilyconnect these two areas overlooked by Metro routes. The fares are currently the WMATA regular bus fare.Time saved is probably not worth a premium bus fare.
3,"Jun 22, 2022","Senior SmarTrip card costs $2 and provides $1 Metrobus and 1/2 off peak Metro fares.Other suburban bus fares are also discounted. Retirees have the advantage of flexible schedules.Unfortunately, school and work years were less enjoyable."
3,"Jul 11, 2021","Beauty is in the eye of the beholder.Being a native Washingtonian, public transportationis dear to my heart. My first date was via Metrobus.As a high school student, it was my only method of transportation.As a college student, frustration dominated my experiences.As a parent and adult, my coworkers and family are appalledby my transportation choices. Kudos for addition of DC Circulator.Now as a senior citizen, this is my preferred way of getting around DMV.Still gritty and grimy, yet useful and underappreciated.If you want to go fast, go alone.If you want to go far, go together."
1,"Aug 20, 2023",The man who works at the Judiciary Square stop should be fired or get some customer service training. So rude. Unnecessarily mean. Get some customer service training.
1,"Aug 18, 2023","You have a lower approval rating than Trump in the deep blue city of Trump. That is saying something. But well deserved. Let's see. First you built stations a mile deep. Then you realized open air might be better. Except when the whether is bad. Nevermind, it was the wave of the future. Then you figured the trains could drive themselves. Until the other part of the system malfunctioned and 18ish people died. Then you figured high tech trains would solve. Until your crappy tracks broke them. In between, you retired the old metro cards until you retired the new metro cards. Then the wave of the future hit. A million layers of security to transfer a metro card with $5 dollars on it to the lap. Including having the actual metro cards because that is"
2,"Aug 13, 2023",Why is it that wmata's mobile and card management so dysfunctional? What is the obsession over having a physical card if you use mobile app? Changing phones requires using original smart card to install in new phone wallet. Why can't wmata implement a more simple approach like the NYC subway has?
