,0,1,2
0,3 star rating,,"I've seen things dirtier, smellier, just downright nastier than the Bay Area Rapid Transit system or BART, as we call it. I can't give it 5 stars, but this system has gotten me from Point A to B without much complication for the last 20 years. Just needs new seats and carpet, perhaps even some security. Why does Bart Police exist?"
1,Filter reviews by 1 star rating,,"I've seen things dirtier, smellier, just downright nastier than the Bay Area Rapid Transit system or BART, as we call it. I can't give it 5 stars, but this system has gotten me from Point A to B without much complication for the last 20 years. Just needs new seats and carpet, perhaps even some security. Why does Bart Police exist?"
2,4 star rating,"Jul 2, 2007","I've seen things dirtier, smellier, just downright nastier than the Bay Area Rapid Transit system or BART, as we call it. I can't give it 5 stars, but this system has gotten me from Point A to B without much complication for the last 20 years. Just needs new seats and carpet, perhaps even some security. Why does Bart Police exist?"
3,5 star rating,"Nov 16, 2007","Coming from LA, we took the BART to Powell Street! This was great. It took us right where we needed to be. Why can't LA have such great transportation. Yes even though it was quite crowded from SFO to downtown, it was so convenient and for $5.15 its cheaper than a taxi too."
4,3 star rating,"Dec 25, 2007","Public transportation is extremely important, and we're fortunate to have BART-! still... it could do a lot better of a job. I think people praise it here because Californians are so used to the idea of not having public transportation that they have very low standards. Anyone who's been around the world and seen metros in place in cities much poorer than San Francisco would be hard-pressed to call the BART fantastic.Going from the East Bay to the west Bay to commute to work is *very* expensive, although it did bring down my auto insurance rates a few hundred dollars a year. I'm talking like $120 a month just to go to work...  this is not an affordable option for low income people, but it beats driving a car.And the midnight closures... geez! what's with that? That being said, it's remarkable that BART's in place, and considering the history of Californian government, corruption goes hand in hand with projects like the Bay Bridge, MUNI & the BART. It's also bad to compare the bart to other systems since they depend on so much funding from the fares--Bay area people should definitely cough up more money for the BART, whether it's through some form of gas tax or auto tax..."
5,3 star rating,"Sep 8, 2008","A necessary evil with gas prices, bridge tolls, and city parking.... I ride Tuesday- Thursday... Fruitvale to Montgomery and Civic Center to Fruitvale..I'm very particular  on where I sit so I don't get motion sickness, either sideways or facing forward.... never ride backwards... NEVER... I must say though I love to eaves drop on conversation and stare at people... If someone were to ask me on Bart if I had a staring problem, I would have to respond with, ""Why yes... Yes I do!!!"" I've thought numerous times about writing a book about my travels on Bart...."" Confessions on a Bart train""... but alas I am always to drained from the Bart ride to write...."
6,3 star rating,"Aug 14, 2009","BART is not like the New York or Tokyo subways. Trains are infrequent, it's expensive, people don't really know how to act...but it gets the job done and it often beats driving. And i'm sure it would be way better if people were willing to pay more tax. Let's see how much we really need BART when they go on strike.On the other hand, F*** the bart strikers."
7,3 star rating,"Mar 17, 2011","What's with the people who ride the BART? I've never seen so many horribly dressed people at the same time in a small metal tube in my entire life. One time I felt the need to flee at the site of a homeless man running full speed through the BART with no shoes on. His feet looked really gross and it scared me! I'm from Seattle, and apparently our lack of good and efficient public transportation did not prepare me for riding the BART. The BART does get you where you need to go though, so 5 stars for that."
8,4 star rating,"May 22, 2006","Compared to most cities mass transit, I'll take BART any day of the week. Compared to something like Path in Jersey or Metrorail in upstate/connecticut, Bart ain't that expensive and is pretty reliable most of the time. Only thing I hate about it is the refusal to run overnight. Even if it was just one train an hour, that would make a HUGE difference."
9,3 star rating,"Jun 25, 2009","Really is OK. If I were a pragmatist, BART would be getting 2 stars, lucky for them I'm a train fan.Here goes: faster service, cleaner cars, cleaner stations, lower fares, more frequent service, less pay to employees, better managers/directors and newer rail cars are just some of the thousands of ways BART NEEDS to improve.I'm going to take Muni instead until BART gets itself together, lowers its  fare and restores normal service (referring to fare increase and service cuts for July/Sep 09)."
10,5 star rating,"Dec 17, 2010","Public transportation is the key if you're low on funds and/or care about leaving a decent environment for your children to grow up in. There's not a vast quantity of public transport in LA so it's a relatively new idea for me.  The biggest problem is that I'm directionally challenged so getting on and off the right train was difficult... Luckily I had some friends there to guide me otherwise I'm not sure where I would've ended up!  Overall, I'm pleased with the system they set up in this magnificent city. Next time I'll pay more attention and I'm sure I'll be just fine."
